timestamp,CALLS_date,CALLS_duration,User
3/23/2013 22:24,3/23/2013,10,1
3/23/2013 22:24,3/23/2013,13,1
3/23/2013 22:24,3/23/2013,18,1
3/23/2013 22:24,3/23/2013,438,1
3/23/2013 22:24,3/22/2013,22,1
3/23/2013 22:24,3/22/2013,68,1
3/23/2013 22:24,3/22/2013,51,1
3/23/2013 22:24,3/22/2013,0,1
3/23/2013 22:24,3/22/2013,45,1
3/23/2013 22:24,3/22/2013,13,1
3/23/2013 22:24,3/20/2013,51,1
3/23/2013 22:24,3/19/2013,34,1
3/23/2013 22:24,3/18/2013,82,1
3/23/2013 22:24,3/17/2013,46,1
3/23/2013 22:24,3/16/2013,28,1
3/23/2013 22:24,3/15/2013,22,1
3/23/2013 22:24,3/15/2013,91,1
3/23/2013 22:24,3/15/2013,235,1
3/23/2013 22:24,3/15/2013,23,1
3/23/2013 22:24,3/15/2013,183,1
3/23/2013 22:24,3/15/2013,53,1
3/23/2013 22:24,3/15/2013,102,1
3/23/2013 22:24,3/14/2013,58,1
3/23/2013 22:24,3/13/2013,0,1
3/23/2013 22:24,3/13/2013,0,1
3/23/2013 22:24,3/13/2013,68,1
3/23/2013 22:24,3/13/2013,31,1
3/23/2013 22:24,3/13/2013,19,1
3/23/2013 22:24,3/13/2013,0,1
3/23/2013 22:24,3/13/2013,0,1
3/23/2013 22:24,3/13/2013,343,1
3/23/2013 22:24,3/12/2013,59,1
3/23/2013 22:24,3/12/2013,19,1
3/23/2013 22:24,3/12/2013,41,1
3/23/2013 22:24,3/12/2013,50,1
3/23/2013 22:24,3/12/2013,34,1
3/23/2013 22:24,3/11/2013,0,1
3/23/2013 22:24,3/11/2013,0,1
3/23/2013 22:24,3/11/2013,469,1
3/23/2013 22:24,3/10/2013,416,1
3/23/2013 22:24,3/10/2013,0,1
3/23/2013 22:24,3/10/2013,67,1
3/23/2013 22:24,3/10/2013,0,1
3/23/2013 22:24,3/10/2013,338,1
3/23/2013 22:24,3/10/2013,12,1
3/23/2013 22:24,3/10/2013,0,1
3/23/2013 22:24,3/10/2013,78,1
3/23/2013 22:24,3/10/2013,38,1
3/23/2013 22:24,3/9/2013,10,1
3/23/2013 22:24,3/9/2013,21,1
3/23/2013 22:24,3/9/2013,32,1
3/23/2013 22:24,3/9/2013,0,1
3/23/2013 22:24,3/8/2013,18,1
3/23/2013 22:24,3/8/2013,0,1
3/23/2013 22:24,3/8/2013,10,1
3/23/2013 22:24,3/8/2013,0,1
3/23/2013 22:24,3/8/2013,4,1
3/23/2013 22:24,3/8/2013,72,1
3/23/2013 22:24,3/8/2013,4,1
3/23/2013 22:24,3/8/2013,4,1
3/23/2013 22:24,3/8/2013,0,1
3/23/2013 22:24,3/8/2013,20,1
3/23/2013 22:24,3/8/2013,0,1
3/23/2013 22:24,3/8/2013,13,1
3/23/2013 22:24,3/8/2013,21,1
3/23/2013 22:24,3/7/2013,14,1
3/23/2013 22:24,3/6/2013,23,1
3/23/2013 22:24,3/6/2013,21,1
3/23/2013 22:24,3/6/2013,377,1
3/23/2013 22:24,3/6/2013,18,1
3/23/2013 22:24,3/6/2013,21,1
3/23/2013 22:24,3/6/2013,21,1
3/23/2013 22:24,3/6/2013,14,1
3/23/2013 22:24,3/6/2013,0,1
3/23/2013 22:24,3/6/2013,0,1
3/23/2013 22:24,3/6/2013,5,1
3/23/2013 22:24,3/6/2013,0,1
3/23/2013 22:24,3/6/2013,0,1
3/23/2013 22:24,3/6/2013,2,1
3/23/2013 22:24,3/6/2013,3,1
3/23/2013 22:24,3/6/2013,101,1
3/23/2013 22:24,3/6/2013,2,1
3/23/2013 22:24,3/6/2013,28,1
3/23/2013 22:24,3/5/2013,263,1
3/23/2013 22:24,3/2/2013,221,1
3/23/2013 22:24,3/2/2013,2,1
3/23/2013 22:24,3/2/2013,2,1
3/23/2013 22:24,3/2/2013,3,1
3/23/2013 22:24,3/2/2013,473,1
3/23/2013 22:24,3/2/2013,3,1
3/23/2013 22:24,3/2/2013,0,1
3/23/2013 22:24,3/2/2013,257,1
3/23/2013 22:24,3/2/2013,3,1
3/23/2013 22:24,3/1/2013,65,1
3/23/2013 22:24,3/1/2013,3,1
