User,Date,Time in Locked Mode,,,,,,,
,18-Apr-13,2.784166667,,,,,,,
,18-May-13,6.834166667,,,,,,,
,19-Apr-13,1.106111111,,,,,,,
,20-Apr-13,11.62916667,,,,,,,
,20-May-13,9.378888889,,,,,,,
,21-Apr-13,8.147222222,,,,,,,
,21-May-13,6.733055556,,,,,,,
,22-May-13,2.704166667,,,,,,,
,23-Apr-13,10.90361111,,,,,,,
,23-May-13,9.908611111,,,,,,,
,24-Apr-13,1.783888889,,,,,,,
,24-May-13,7.313333333,,,,,,,
,25-Apr-13,5.115833333,,,,,,,
,25-May-13,8.0675,,,,,,,
,26-Apr-13,3.88,,,,,,,
,26-May-13,6.0325,,,,,,,
,27-Apr-13,8.766111111,,,,,,,
,27-Mar-13,8.596944444,,,,,,,
,27-May-13,7.637777778,,,,,,,
,28-Apr-13,7.611111111,,,,,,,
,28-May-13,3.728888889,,,,,,,
,29-Apr-13,7.803055556,,,,,,,
,29-Mar-13,11.16833333,,,,,,,
,29-May-13,4.8425,,,,,,,
,30-Apr-13,5.486111111,,,,,,,
,30-Mar-13,7.071111111,,,,,,,
,30-May-13,9.446944444,,,,,,,
,31-Mar-13,8.175,,,,,,,
,31-May-13,5.750555556,,,,,,,
4,1-Apr-13,14.81722222,,,,,,,
,3-Apr-13,9.81,,,,,,,
,4-May-13,2.8025,,,,,,,
,5-Apr-13,9.784444444,,,,,,,
,5-May-13,6.850833333,,,,,,,
,6-May-13,18.87888889,,,,,,,
,7-Apr-13,17.48611111,,,,,,,
,8-Apr-13,28.6025,,,,,,,
,9-Apr-13,17.91027778,,,,,,,
,10-Apr-13,3.145277778,,,,,,,
,11-May-13,4.372777778,,,,,,,
,12-Apr-13,9.761944444,,,,,,,
,12-May-13,5.917777778,,,,,,,
,13-Apr-13,1.302222222,,,,,,,
,13-May-13,2.859444444,,,,,,,
,14-Apr-13,2.721111111,,,,,,,
,14-May-13,1.261388889,,,,,,,
,15-Apr-13,9.881388889,,,,,,,
,15-May-13,9.010277778,,,,,,,
,16-Apr-13,11.68694444,,,,,,,
,16-May-13,7.674166667,,,,,,,
,17-Apr-13,8.742777778,,,,,,,
,20-Apr-13,11.2625,,,,,,,
,21-Apr-13,18.03666667,,,,,,,
,21-May-13,1.593055556,,,,,,,
,22-Apr-13,10.45666667,,,,,,,
,23-Apr-13,27.01222222,,,,,,,
,24-Apr-13,15.38833333,,,,,,,
,26-Apr-13,1.429166667,,,,,,,
,26-Mar-13,5.444444444,,,,,,,
,27-Apr-13,8.706666667,,,,,,,
,27-Mar-13,17.09472222,,,,,,,
,28-Apr-13,6.857222222,,,,,,,
,28-Mar-13,12.31027778,,,,,,,
,29-Apr-13,13.21527778,,,,,,,
,29-Mar-13,11.71027778,,,,,,,
,30-Apr-13,28.52861111,,,,,,,
,30-Mar-13,7.919166667,,,,,,,
,31-Mar-13,18.50555556,,,,,,,
5,1-Apr-13,24.60694444,,,,,,,
,1-May-13,19.18972222,,,,,,,
,2-Apr-13,17.76944444,,,,,,,
,2-May-13,16.15555556,,,,,,,
,3-Apr-13,22.54027778,,,,,,,
,3-May-13,7.661388889,,,,,,,
,4-Apr-13,17.42416667,,,,,,,
,4-May-13,8.385,,,,,,,
,5-Apr-13,23.26888889,,,,,,,
,5-May-13,19.025,,,,,,,
,6-Apr-13,21.46611111,,,,,,,
,6-May-13,15.95388889,,,,,,,
,7-Apr-13,13.45944444,,,,,,,
,7-May-13,14.73138889,,,,,,,
,8-Apr-13,21.885,,,,,,,
,8-May-13,10.05444444,,,,,,,
,9-Apr-13,20.13361111,,,,,,,
,9-May-13,25.29222222,,,,,,,
,10-Apr-13,22.62277778,,,,,,,
,10-May-13,23.80833333,,,,,,,
,11-Apr-13,11.22972222,,,,,,,
,11-May-13,20.13277778,,,,,,,
,12-Apr-13,16.98972222,,,,,,,
,12-May-13,9.525555556,,,,,,,
,13-Apr-13,25.72888889,,,,,,,
,13-May-13,21.44,,,,,,,
,14-Apr-13,27.85027778,,,,,,,
,14-May-13,18.83611111,,,,,,,
,15-Apr-13,17.44805556,,,,,,,
,15-May-13,18.9675,,,,,,,
,16-Apr-13,7.154722222,,,,,,,
,16-May-13,23.69138889,,,,,,,
,17-Apr-13,13.82361111,,,,,,,
,17-May-13,10.03972222,,,,,,,
,18-Apr-13,24.42472222,,,,,,,
,18-May-13,7.334722222,,,,,,,
,19-Apr-13,22.49694444,,,,,,,
,19-May-13,3.3225,,,,,,,
,20-Apr-13,24.09055556,,,,,,,
,21-May-13,12.04916667,,,,,,,
,22-Apr-13,17.31805556,,,,,,,
,22-May-13,7.025555556,,,,,,,
,23-Apr-13,16.85277778,,,,,,,
,24-Apr-13,22.45805556,,,,,,,
,25-Apr-13,23.86194444,,,,,,,
